Feature,Correlation with price_usd,Absolute Correlation
engine_cc,0.6781612644756104,0.6781612644756104
make_year,0.4326025832400276,0.4326025832400276
fuel_type_Electric,0.31258391026300225,0.31258391026300225
owner_count,-0.26226550194727927,0.26226550194727927
mileage_kmpl,0.21197057700502853,0.21197057700502853
fuel_type_Petrol,-0.10638248883890206,0.10638248883890206
fuel_type_Diesel,-0.08042318025123558,0.08042318025123558
color_Silver,-0.023013404444261826,0.023013404444261826
color_Red,0.017251391910482763,0.017251391910482763
brand_BMW,0.016295378384269917,0.016295378384269917
brand_Ford,0.016184345833412064,0.016184345833412064
service_history_Full,0.01614366106763636,0.01614366106763636
brand_Tesla,-0.013639201994782775,0.013639201994782775
brand_Nissan,-0.013087021792373867,0.013087021792373867
service_history_nan,-0.010326014131514396,0.010326014131514396
brand_Kia,-0.009598013341052071,0.009598013341052071
service_history_Partial,-0.008557773688263125,0.008557773688263125
brand_Volkswagen,0.007370862780870086,0.007370862780870086
insurance_valid_No,0.00709720340003795,0.00709720340003795
insurance_valid_Yes,-0.00709720340003795,0.00709720340003795
color_Black,0.005960176323869727,0.005960176323869727
color_White,-0.005092824446402891,0.005092824446402891
brand_Toyota,-0.004034144061681339,0.004034144061681339
brand_Honda,0.00329943887021196,0.00329943887021196
color_Blue,0.002855635234741876,0.002855635234741876
brand_Hyundai,-0.002779444216702538,0.002779444216702538
transmission_Automatic,0.0027706516330948026,0.0027706516330948026
transmission_Manual,-0.002770651633094802,0.002770651633094802
color_Gray,0.0017252869363917841,0.0017252869363917841
accidents_reported,-0.0014605152776452786,0.0014605152776452786
brand_Chevrolet,0.00034895839884972827,0.00034895839884972827
